WORD	↑	↓	←	→
fled	9	0	0	15
pointed at	0	0	0	24
pulled	12	0	12	0
pushed	8	0	0	16
walked	0	0	0	24
hunted	0	0	0	24
impacted	5	6	2	11
perched	24	0	0	0
showed	9	0	0	15
smashed	8	6	0	10
bombed	0	22	0	2
flew	23	0	0	1
floated	24	0	0	0
lifted	24	0	0	0
sank	0	24	0	0
argued with	0	0	6	18
gave to	0	0	0	24
offended	11	5	0	8
rushed	2	1	0	21
warned	22	2	0	0
owned	2	3	0	19
regretted	6	3	15	0
rested	8	16	0	0
tempted	0	0	0	24
wanted	13	0	0	11
hoped	23	0	0	1
increased	24	0	0	0
obeyed	20	3	0	1
respected	24	0	0	0
succeeded	21	0	0	3

Total time: 16.30286587079366 minutes
