WORD	↑	↓	←	→
fled	1	7	11	5
pointed at	0	0	0	24
pulled	2	4	18	0
pushed	0	0	0	24
walked	0	0	0	24
hunted	0	1	0	23
impacted	0	12	2	10
perched	18	6	0	0
showed	4	0	0	20
smashed	0	24	0	0
bombed	0	24	0	0
flew	23	0	0	1
floated	24	0	0	0
lifted	24	0	0	0
sank	0	24	0	0
argued with	0	1	23	0
gave to	0	0	0	24
offended	0	16	8	0
rushed	1	2	0	21
warned	7	8	4	5
owned	5	9	7	3
regretted	0	0	24	0
rested	1	15	7	1
tempted	4	1	0	19
wanted	12	0	0	12
hoped	24	0	0	0
increased	24	0	0	0
obeyed	2	0	0	22
respected	18	2	3	1
succeeded	12	0	0	12

Total time: 30.560384579499562 minutes
