WORD	up	down	left	right
fled	4	1	15	4
pointed at	3	0	0	21
pulled	11	0	8	5
pushed	0	0	0	24
walked	6	0	2	16
hunted	6	2	0	16
impacted	0	2	0	22
perched	24	0	0	0
showed	21	0	0	3
smashed	0	20	1	3
bombed	1	22	0	1
flew	24	0	0	0
floated	24	0	0	0
lifted	24	0	0	0
sank	0	24	0	0
argued with	0	0	12	12
gave to	0	0	4	20
offended	0	2	22	0
rushed	6	1	0	17
warned	6	6	5	7
owned	1	0	0	22
regretted	0	7	16	1
rested	10	14	0	0
tempted	0	0	5	19
wanted	11	0	6	7
hoped	24	0	0	0
increased	24	0	0	0
obeyed	17	0	0	7
respected	21	0	0	3
succeeded	19	0	0	5

Total time: 16.342788116137186 minutes
