WORD	up	down	left	right
fled	1	15	7	1
pointed at	5	0	0	19
pulled	0	18	6	0
pushed	5	3	0	16
walked	9	2	3	10
hunted	5	15	4	0
impacted	3	10	4	7
perched	24	0	0	0
showed	5	0	0	19
smashed	0	24	0	0
bombed	0	24	0	0
flew	24	0	0	0
floated	24	0	0	0
lifted	24	0	0	0
sank	0	24	0	0
argued with	4	1	19	0
gave to	3	5	0	16
offended	0	10	14	0
rushed	12	8	0	4
warned	5	1	15	3
owned	10	4	2	8
regretted	0	18	6	0
rested	0	24	0	0
tempted	6	7	2	9
wanted	17	0	2	5
hoped	24	0	0	0
increased	24	0	0	0
obeyed	6	6	1	11
respected	13	5	4	2
succeeded	24	0	0	0

Total time: 30.305644671122234 minutes
