WORD	up	down	left	right
fled	0	0	22	2
pointed at	1	0	0	23
pulled	0	4	4	16
pushed	1	0	0	23
walked	3	1	0	20
hunted	0	1	1	22
impacted	0	24	0	0
perched	24	0	0	0
showed	6	4	0	14
smashed	0	24	0	0
bombed	0	24	0	0
flew	24	0	0	0
floated	24	0	0	0
lifted	24	0	0	0
sank	0	24	0	0
argued with	0	0	22	2
gave to	0	0	0	24
offended	0	16	8	0
rushed	0	10	0	14
warned	16	0	2	6
owned	0	7	1	16
regretted	0	0	24	0
rested	0	24	0	0
tempted	0	0	3	19
wanted	6	0	0	18
hoped	24	0	0	0
increased	24	0	0	0
obeyed	0	0	0	24
respected	24	0	0	0
succeeded	21	0	0	3

Total time: 27.597952806949614 minutes
