WORD	↑	↓	←	→
fled	0	0	21	2
pointed at	0	0	0	24
pulled	0	1	22	0
pushed	0	0	0	24
walked	0	0	0	24
hunted	0	5	0	19
impacted	0	19	0	5
perched	17	7	0	0
showed	0	0	0	24
smashed	0	19	0	4
bombed	0	24	0	0
flew	24	0	0	0
floated	24	0	0	0
lifted	24	0	0	0
sank	0	24	0	0
argued with	2	0	22	0
gave to	0	0	0	24
offended	4	11	9	0
rushed	0	0	0	24
warned	9	2	13	0
owned	0	17	6	1
regretted	0	0	24	0
rested	0	24	0	0
tempted	0	18	2	4
wanted	3	0	0	21
hoped	24	0	0	0
increased	24	0	0	0
obeyed	0	9	0	15
respected	20	4	0	0
succeeded	24	0	0	0

Total time: 101.942726679643 minutes
