WORD	up	down	left	right
fled	0	0	24	0
pointed at	3	0	0	20
pulled	1	21	2	0
pushed	0	11	0	13
walked	3	0	0	20
hunted	0	24	0	0
impacted	0	24	0	0
perched	24	0	0	0
showed	17	5	0	2
smashed	0	22	0	0
bombed	0	24	0	0
flew	24	0	0	0
floated	24	0	0	0
lifted	24	0	0	0
sank	0	24	0	0
argued with	2	0	17	5
gave to	1	2	5	15
offended	4	14	4	2
rushed	4	4	4	12
warned	17	5	0	2
owned	1	22	0	1
regretted	0	20	4	0
rested	0	24	0	0
tempted	0	18	6	0
wanted	17	1	0	6
hoped	24	0	0	0
increased	24	0	0	0
obeyed	0	18	0	6
respected	22	2	0	0
succeeded	24	0	0	0

Total time: 116.00232944488525 minutes
