WORD	↑	↓	←	→
fled	0	0	16	4
pointed at	0	0	0	23
pulled	0	0	22	0
pushed	0	0	0	20
walked	0	0	0	22
hunted	0	2	5	17
impacted	0	17	0	3
perched	19	0	0	0
showed	2	0	0	2
smashed	0	17	0	0
bombed	0	24	0	0
flew	8	0	0	0
floated	14	0	0	0
lifted	13	0	0	0
sank	0	6	0	0
argued with	0	4	12	2
gave to	0	0	0	4
offended	0	24	0	0
rushed	0	1	0	14
warned	8	3	3	4
owned	4	3	6	2
regretted	0	2	19	0
rested	1	23	0	0
tempted	2	4	0	16
wanted	8	0	0	5
hoped	12	0	0	2
increased	13	0	0	0
obeyed	0	19	0	2
respected	22	0	0	1
succeeded	18	0	0	2

Total time: 44.633180697758995 minutes
