WORD	↑	↓	←	→
fled	0	0	19	5
pointed at	0	0	1	23
pulled	0	1	23	0
pushed	0	0	0	24
walked	0	0	0	24
hunted	0	6	1	17
impacted	0	14	0	10
perched	24	0	0	0
showed	1	0	0	23
smashed	0	22	0	2
bombed	0	24	0	0
flew	24	0	0	0
floated	24	0	0	0
lifted	24	0	0	0
sank	0	24	0	0
argued with	0	0	24	0
gave to	0	0	0	24
offended	0	24	0	0
rushed	0	0	0	24
warned	2	10	12	0
owned	2	15	7	0
regretted	0	0	24	0
rested	0	24	0	0
tempted	0	21	0	3
wanted	6	0	0	18
hoped	24	0	0	0
increased	23	0	0	0
obeyed	0	21	0	3
respected	24	0	0	0
succeeded	24	0	0	0

Total time: 150.72423338492712 minutes
